Nombre	Apellidos		Dirección			Ciudad	Teléfono
Jaime		Molina Granados	C/San Pablo 65		Atarfe	752369823
Carmelo	Molina Granados	C/San Pablo 65		Atarfe	158763214
Lidia		Granados Díaz	C/San Pablo 65		Atarfe	123785412
Pedro		Ruiz Coca		C/Jiménez Rueda 23	Maracena	972654125
Alex		Arrabal Canton	C/Manuel de Falla 4	Albolote	487593156
Natalia	Heredia Pérez	C/Pichón 73			Peligros	235841257
Maria		Rojas Palma		C/Santa Ana	8		Atarfe	763592648
Naira		Pérez Mochón	C/San Francisco 34	Peligros	255874123
Raul		Morcillo Jiménez	C/Barranco 6		Albolote	698846658
Juan		Foche López		C/Deltoya 2			Maracena	254862266


